,LCI,top3_3,,,,,
899,1,Both biological parents,,,,,
900,1,"Two parents, biological mother",,,,,
901,1,Both biological parents,,,,,
902,1,Anything else,,,,,
903,3,Anything else,,,,,
904,3,"Two parents, biological mother",,,,,
905,3,Both biological parents,,,,,
906,7,Adoptive parent(s),,,,,
907,3,Anything else,,,,,
909,2,Biological mother only,,,,,
911,1,Anything else,,,,,
912,0,Anything else,,,,,
913,3,Anything else,,,,,
914,1,Both biological parents,,,,,
915,3,Both biological parents,,,,,
916,1,Both biological parents,,,,,
917,0,Both biological parents,,,,,
919,2,Both biological parents,,,,,
920,5,Both biological parents,,,,,
921,3,Biological mother only,,,,,
922,3,"Two parents, biological mother",,,,,
925,0,Both biological parents,,,,,
926,0,Both biological parents,,,,,
927,1,Both biological parents,,,,,
928,5,"Two parents, biological mother",,,,,
929,3,Both biological parents,,,,,
930,0,Both biological parents,,,,,
931,1,"Two parents, biological mother",,,,,
932,3,"Two parents, biological mother",,,,,
933,2,Biological mother only,,,,,
934,0,Both biological parents,,,,,
936,0,Both biological parents,,,,,
937,5,Both biological parents,,,,,
938,0,"Two parents, biological mother",,,,,
939,4,Biological mother only,,,,,
940,0,Anything else,,,,,
941,0,Both biological parents,,,,,
942,0,Anything else,,,,,
943,5,Anything else,,,,,
945,1,Anything else,,,,,
946,1,"Two parents, biological mother",,,,,
947,3,Biological father only,,,,,
948,0,Biological father only,,,,,
949,1,Anything else,,,,,
950,0,Both biological parents,,,,,
951,0,Both biological parents,,,,,
953,0,Both biological parents,,,,,
954,3,Biological father only,,,,,
955,2,Biological mother only,,,,,
956,2,Both biological parents,,,,,
957,0,Both biological parents,,,,,
959,1,Biological mother only,,,,,
960,1,Biological mother only,,,,,
961,5,Biological mother only,,,,,
962,0,Both biological parents,,,,,
963,0,Both biological parents,,,,,
964,1,Biological mother only,,,,,
965,0,Both biological parents,,,,,
968,1,Both biological parents,,,,,
969,0,Both biological parents,,,,,
970,3,Both biological parents,,,,,
972,3,Biological father only,,,,,
974,1,Anything else,,,,,
975,2,Anything else,,,,,
976,1,Both biological parents,,,,,
977,1,Both biological parents,,,,,
978,1,Both biological parents,,,,,
981,3,Anything else,,,,,
982,1,Biological mother only,,,,,
984,5,Biological mother only,,,,,
985,3,Anything else,,,,,
986,1,Biological mother only,,,,,
987,0,Both biological parents,,,,,
988,3,"Two parents, biological mother",,,,,
989,2,Anything else,,,,,
990,5,Biological mother only,,,,,
991,5,Anything else,,,,,
993,2,Anything else,,,,,
994,1,Both biological parents,,,,,
995,0,Anything else,,,,,
996,0,Both biological parents,,,,,
997,9,Biological father only,,,,,
998,0,Anything else,,,,,
999,4,Anything else,,,,,
1000,2,Anything else,,,,,
1001,1,Both biological parents,,,,,
1002,1,Both biological parents,,,,,
1003,0,"Two parents, biological father",,,,,
1004,0,"Two parents, biological mother",,,,,
1005,1,Both biological parents,,,,,
1006,3,Both biological parents,,,,,
1007,1,Anything else,,,,,
1008,1,Both biological parents,,,,,
1009,1,Anything else,,,,,
1010,1,Both biological parents,,,,,
1011,1,Both biological parents,,,,,
1012,0,Both biological parents,,,,,
1013,0,Both biological parents,,,,,
1014,0,Both biological parents,,,,,
