,LCI,top3_3,,,,,
2757,1,Biological mother only,,,,,
2758,5,Both biological parents,,,,,
2760,3,Anything else,,,,,
2761,2,Anything else,,,,,
2762,0,Both biological parents,,,,,
2764,1,Both biological parents,,,,,
2768,0,Both biological parents,,,,,
2769,1,Both biological parents,,,,,
2770,1,Both biological parents,,,,,
2771,4,Anything else,,,,,
2772,1,Both biological parents,,,,,
2773,1,Biological mother only,,,,,
2774,1,Anything else,,,,,
2775,1,Anything else,,,,,
2776,3,Both biological parents,,,,,
2778,0,Biological father only,,,,,
2779,1,Biological father only,,,,,
2781,1,Anything else,,,,,
2782,3,Anything else,,,,,
2783,1,Both biological parents,,,,,
2784,1,Anything else,,,,,
2785,1,Both biological parents,,,,,
2786,1,Both biological parents,,,,,
2787,3,Anything else,,,,,
2788,1,Both biological parents,,,,,
2789,3,Both biological parents,,,,,
2790,1,Both biological parents,,,,,
2791,1,Anything else,,,,,
2792,5,Biological father only,,,,,
2793,7,Both biological parents,,,,,
2794,5,Both biological parents,,,,,
2795,3,Both biological parents,,,,,
2796,1,Both biological parents,,,,,
2797,0,Both biological parents,,,,,
2798,5,Anything else,,,,,
2799,3,Anything else,,,,,
2800,1,Anything else,,,,,
2801,0,Both biological parents,,,,,
2802,3,Anything else,,,,,
2803,3,Anything else,,,,,
2804,3,Anything else,,,,,
2805,7,Biological mother only,,,,,
2806,1,Both biological parents,,,,,
2807,3,Biological mother only,,,,,
2808,4,Anything else,,,,,
2809,1,Biological mother only,,,,,
2810,2,Biological mother only,,,,,
2811,0,Both biological parents,,,,,
2812,1,Both biological parents,,,,,
2815,0,Anything else,,,,,
2816,7,Anything else,,,,,
2817,0,Biological mother only,,,,,
2818,2,Anything else,,,,,
2819,1,Biological father only,,,,,
2820,4,Biological father only,,,,,
2821,0,Anything else,,,,,
2822,3,Biological father only,,,,,
2823,4,Anything else,,,,,
2824,0,"Two parents, biological mother",,,,,
2826,1,Anything else,,,,,
2827,0,Both biological parents,,,,,
2828,3,Biological mother only,,,,,
2829,2,Biological mother only,,,,,
2833,3,Both biological parents,,,,,
2834,1,Biological mother only,,,,,
2835,1,Both biological parents,,,,,
2838,1,Biological mother only,,,,,
2839,3,Anything else,,,,,
2840,3,Anything else,,,,,
2841,10,Anything else,,,,,
2843,6,Anything else,,,,,
2844,1,Both biological parents,,,,,
2845,5,Both biological parents,,,,,
2847,0,Biological mother only,,,,,
2848,1,Biological father only,,,,,
2849,3,Anything else,,,,,
2850,6,Biological mother only,,,,,
2852,0,Biological mother only,,,,,
2854,8,Anything else,,,,,
2855,4,Anything else,,,,,
2856,5,Biological mother only,,,,,
2858,2,Biological father only,,,,,
2859,7,Both biological parents,,,,,
2860,1,Anything else,,,,,
2861,3,Biological mother only,,,,,
2862,4,Biological father only,,,,,
2863,2,Anything else,,,,,
2864,1,Both biological parents,,,,,
2865,1,Both biological parents,,,,,
2866,1,Both biological parents,,,,,
2867,1,Both biological parents,,,,,
2868,1,Both biological parents,,,,,
2869,0,"Two parents, biological mother",,,,,
2870,1,Anything else,,,,,
2871,1,Both biological parents,,,,,
2872,1,Both biological parents,,,,,
2874,1,Both biological parents,,,,,
2876,1,Both biological parents,,,,,
2877,0,Both biological parents,,,,,
2878,1,Biological mother only,,,,,
2879,2,Anything else,,,,,
2880,1,Biological mother only,,,,,
2881,1,"Two parents, biological mother",,,,,
2882,0,Biological mother only,,,,,
2883,1,Anything else,,,,,
2885,1,Both biological parents,,,,,
2887,0,Anything else,,,,,
2888,1,Biological mother only,,,,,
2889,4,"No parents, other relatives",,,,,
2892,0,Both biological parents,,,,,
2893,1,Both biological parents,,,,,
2894,0,Both biological parents,,,,,
2895,0,"Two parents, biological mother",,,,,
2897,3,Both biological parents,,,,,
2898,8,Both biological parents,,,,,
2899,1,Both biological parents,,,,,
2900,0,Both biological parents,,,,,
2901,0,Anything else,,,,,
2902,2,Biological mother only,,,,,
2903,4,Anything else,,,,,
2904,3,Anything else,,,,,
2905,3,Anything else,,,,,
2906,7,"Two parents, biological father",,,,,
2907,3,"Two parents, biological father",,,,,
2908,1,Both biological parents,,,,,
2909,0,Anything else,,,,,
2910,1,Anything else,,,,,
2916,1,Biological father only,,,,,
2917,5,Both biological parents,,,,,
2919,1,Both biological parents,,,,,
2920,5,Both biological parents,,,,,
2921,5,"Two parents, biological mother",,,,,
2923,1,Both biological parents,,,,,
2924,2,Both biological parents,,,,,
2925,0,Both biological parents,,,,,
2926,1,Both biological parents,,,,,
2927,5,Anything else,,,,,
2928,1,Both biological parents,,,,,
2929,0,Anything else,,,,,
2930,1,Anything else,,,,,
2931,1,Both biological parents,,,,,
2932,1,Both biological parents,,,,,
2933,1,Both biological parents,,,,,
2934,0,Both biological parents,,,,,
2935,0,Both biological parents,,,,,
2936,0,Biological mother only,,,,,
2937,1,Biological mother only,,,,,
2938,0,Both biological parents,,,,,
2939,3,Both biological parents,,,,,
2940,1,Both biological parents,,,,,
2941,5,"Two parents, biological mother",,,,,
2942,1,Biological father only,,,,,
2943,0,Both biological parents,,,,,
2944,4,Both biological parents,,,,,
2945,1,Both biological parents,,,,,
2946,4,Both biological parents,,,,,
2947,2,Both biological parents,,,,,
2948,5,Both biological parents,,,,,
2949,3,Biological father only,,,,,
2952,3,Biological mother only,,,,,
2953,0,Anything else,,,,,
2954,4,Anything else,,,,,
2955,3,Biological mother only,,,,,
2956,1,Biological mother only,,,,,
2958,1,Anything else,,,,,
2959,3,Anything else,,,,,
2962,1,"Two parents, biological mother",,,,,
2963,0,Biological father only,,,,,
2964,3,Anything else,,,,,
2966,3,Anything else,,,,,
2970,4,Biological mother only,,,,,
2971,3,Anything else,,,,,
2972,1,"Two parents, biological father",,,,,
2973,1,"Two parents, biological mother",,,,,
2974,1,Biological mother only,,,,,
2975,1,Both biological parents,,,,,
2976,7,Anything else,,,,,
2977,2,"Two parents, biological mother",,,,,
2978,3,Both biological parents,,,,,
2979,1,Both biological parents,,,,,
2980,4,"Two parents, biological mother",,,,,
2981,1,Both biological parents,,,,,
2982,1,Both biological parents,,,,,
2983,1,Both biological parents,,,,,
2986,1,Anything else,,,,,
2987,1,Biological mother only,,,,,
2988,5,Anything else,,,,,
2989,0,Both biological parents,,,,,
2991,1,Biological mother only,,,,,
2992,0,Anything else,,,,,
2993,5,Anything else,,,,,
2995,0,Biological father only,,,,,
2996,5,Anything else,,,,,
2997,5,"Two parents, biological mother",,,,,
2998,2,Biological mother only,,,,,
2999,1,Biological mother only,,,,,
3000,2,Biological father only,,,,,
3001,1,Anything else,,,,,
3002,1,Both biological parents,,,,,
3003,3,Both biological parents,,,,,
3004,1,Both biological parents,,,,,
3005,3,Both biological parents,,,,,
3006,1,Both biological parents,,,,,
3007,3,Anything else,,,,,
3008,8,Anything else,,,,,
3009,1,Both biological parents,,,,,
3010,3,"Two parents, biological mother",,,,,
3011,1,Biological mother only,,,,,
3012,0,Both biological parents,,,,,
3013,3,Both biological parents,,,,,
3014,1,Both biological parents,,,,,
3015,6,Both biological parents,,,,,
3016,1,Anything else,,,,,
3017,1,"Two parents, biological mother",,,,,
3018,1,Both biological parents,,,,,
3019,5,Biological mother only,,,,,
3020,2,Anything else,,,,,
3021,3,Both biological parents,,,,,
3022,1,Both biological parents,,,,,
3024,4,Both biological parents,,,,,
3025,1,Both biological parents,,,,,
3026,1,"Two parents, biological mother",,,,,
3027,1,"Two parents, biological mother",,,,,
3029,3,Anything else,,,,,
3030,0,Both biological parents,,,,,
3031,0,Both biological parents,,,,,
3032,2,Both biological parents,,,,,
3033,1,Both biological parents,,,,,
3035,2,Biological mother only,,,,,
3038,0,Biological mother only,,,,,
3039,1,Anything else,,,,,
3040,2,Both biological parents,,,,,
3041,1,Biological mother only,,,,,
3042,1,"Two parents, biological father",,,,,
3043,0,"Two parents, biological mother",,,,,
3044,0,"Two parents, biological mother",,,,,
3045,3,Both biological parents,,,,,
3046,0,"Two parents, biological mother",,,,,
3047,3,Anything else,,,,,
3048,0,"Two parents, biological mother",,,,,
3049,4,Anything else,,,,,
3050,2,Both biological parents,,,,,
3051,3,Both biological parents,,,,,
3052,3,Anything else,,,,,
3053,4,"Two parents, biological mother",,,,,
3054,1,Anything else,,,,,
3056,0,Both biological parents,,,,,
3057,0,"Two parents, biological father",,,,,
3058,1,Anything else,,,,,
3059,1,Both biological parents,,,,,
3060,1,Biological mother only,,,,,
3061,1,Anything else,,,,,
3062,1,Both biological parents,,,,,
3063,1,Anything else,,,,,
3065,1,"Two parents, biological mother",,,,,
3066,0,Anything else,,,,,
3067,1,Anything else,,,,,
3068,1,Anything else,,,,,
3069,0,Both biological parents,,,,,
3070,1,Both biological parents,,,,,
3071,4,Both biological parents,,,,,
3072,0,Biological mother only,,,,,
3073,3,Biological mother only,,,,,
3074,1,Biological mother only,,,,,
3078,1,Both biological parents,,,,,
3079,1,Both biological parents,,,,,
3080,3,"Two parents, biological mother",,,,,
3081,1,Both biological parents,,,,,
3082,1,Anything else,,,,,
3083,1,Both biological parents,,,,,
3084,1,"Two parents, biological mother",,,,,
3085,3,Both biological parents,,,,,
3087,1,Both biological parents,,,,,
3088,2,"Two parents, biological mother",,,,,
3089,4,Biological mother only,,,,,
3090,2,Both biological parents,,,,,
3091,1,Anything else,,,,,
3092,4,Both biological parents,,,,,
3093,1,Both biological parents,,,,,
3095,12,Biological father only,,,,,
3097,2,"Two parents, biological mother",,,,,
3100,1,Both biological parents,,,,,
3101,3,Both biological parents,,,,,
3102,4,Both biological parents,,,,,
3103,2,Both biological parents,,,,,
3104,0,"Two parents, biological mother",,,,,
3105,0,Both biological parents,,,,,
3107,0,Biological mother only,,,,,
3110,3,Biological father only,,,,,
3111,2,Biological father only,,,,,
3112,0,"Two parents, biological mother",,,,,
3113,1,Anything else,,,,,
3114,5,"Two parents, biological father",,,,,
3115,3,"Two parents, biological mother",,,,,
3116,2,Both biological parents,,,,,
3117,1,Both biological parents,,,,,
3119,1,Both biological parents,,,,,
3120,7,Anything else,,,,,
3121,2,"Two parents, biological mother",,,,,
3122,0,Biological mother only,,,,,
3123,1,Anything else,,,,,
3124,4,Both biological parents,,,,,
3126,1,Anything else,,,,,
3127,1,Both biological parents,,,,,
3128,1,Biological father only,,,,,
3129,0,Biological mother only,,,,,
3130,4,Anything else,,,,,
3132,3,Anything else,,,,,
3133,1,Both biological parents,,,,,
3134,0,Both biological parents,,,,,
3135,1,Anything else,,,,,
3136,0,Both biological parents,,,,,
3137,7,Biological mother only,,,,,
3139,6,Anything else,,,,,
3140,9,Anything else,,,,,
3141,1,Anything else,,,,,
3142,1,Anything else,,,,,
3143,1,Biological mother only,,,,,
3144,10,Biological mother only,,,,,
3145,3,Biological mother only,,,,,
3146,4,Both biological parents,,,,,
3147,5,Anything else,,,,,
3148,0,Both biological parents,,,,,
3149,0,Anything else,,,,,
3152,1,Anything else,,,,,
3154,1,Anything else,,,,,
3155,5,Anything else,,,,,
3156,1,Both biological parents,,,,,
3157,8,"Two parents, biological father",,,,,
3158,1,Anything else,,,,,
3159,5,Biological father only,,,,,
3160,1,Anything else,,,,,
3161,3,"Two parents, biological mother",,,,,
3162,1,Biological mother only,,,,,
3163,5,Anything else,,,,,
3164,0,"Two parents, biological mother",,,,,
3165,3,Anything else,,,,,
3166,5,Biological mother only,,,,,
3167,5,Biological mother only,,,,,
3168,4,Anything else,,,,,
3169,2,Biological mother only,,,,,
3170,4,Biological mother only,,,,,
3171,1,Anything else,,,,,
3172,8,Both biological parents,,,,,
3173,1,Anything else,,,,,
3174,1,Biological father only,,,,,
3175,1,Biological mother only,,,,,
3176,1,Both biological parents,,,,,
3177,4,Anything else,,,,,
3179,3,Both biological parents,,,,,
3180,5,Both biological parents,,,,,
3181,6,Anything else,,,,,
3182,1,Anything else,,,,,
3183,1,Both biological parents,,,,,
3185,1,Anything else,,,,,
3186,0,Both biological parents,,,,,
3187,1,Both biological parents,,,,,
3188,3,Anything else,,,,,
3189,1,Anything else,,,,,
3190,1,Both biological parents,,,,,
3191,1,Both biological parents,,,,,
3192,6,Anything else,,,,,
3193,3,Anything else,,,,,
3194,1,Anything else,,,,,
3195,3,Both biological parents,,,,,
3196,3,Anything else,,,,,
3197,1,Anything else,,,,,
3198,4,Anything else,,,,,
3199,2,Anything else,,,,,
3200,0,Anything else,,,,,
3202,0,Biological mother only,,,,,
3203,1,Both biological parents,,,,,
3204,0,Both biological parents,,,,,
3205,0,Both biological parents,,,,,
3206,8,Anything else,,,,,
3207,1,Both biological parents,,,,,
3208,3,Anything else,,,,,
3209,1,Both biological parents,,,,,
3210,1,Both biological parents,,,,,
3212,5,Biological father only,,,,,
3213,4,Both biological parents,,,,,
3214,1,Anything else,,,,,
3215,3,Anything else,,,,,
3216,3,Anything else,,,,,
3218,2,Biological father only,,,,,
3220,4,"Two parents, biological mother",,,,,
3221,3,Anything else,,,,,
3222,3,"Two parents, biological father",,,,,
3223,4,Anything else,,,,,
3224,3,Both biological parents,,,,,
3225,0,Both biological parents,,,,,
3226,1,Anything else,,,,,
3228,1,Anything else,,,,,
3229,1,Anything else,,,,,
3230,1,Anything else,,,,,
3231,1,Both biological parents,,,,,
3232,0,Both biological parents,,,,,
3233,7,Anything else,,,,,
3234,3,Anything else,,,,,
3235,3,"Two parents, biological mother",,,,,
3236,4,Biological mother only,,,,,
3237,1,Anything else,,,,,
3238,3,Both biological parents,,,,,
3240,1,Both biological parents,,,,,
3241,1,Both biological parents,,,,,
3242,1,Anything else,,,,,
3243,3,"Two parents, biological mother",,,,,
3244,1,"Two parents, biological mother",,,,,
3245,2,"Two parents, biological mother",,,,,
3246,1,Both biological parents,,,,,
3247,7,Anything else,,,,,
3248,8,Anything else,,,,,
3249,3,Both biological parents,,,,,
3250,3,Anything else,,,,,
3251,1,Both biological parents,,,,,
3252,0,Both biological parents,,,,,
3253,3,Biological mother only,,,,,
3254,1,Both biological parents,,,,,
3255,1,Both biological parents,,,,,
3256,0,"Two parents, biological mother",,,,,
3259,1,Anything else,,,,,
3260,1,"Two parents, biological mother",,,,,
3261,5,Anything else,,,,,
3262,1,Biological mother only,,,,,
3263,1,Both biological parents,,,,,
3264,3,Anything else,,,,,
3265,3,Anything else,,,,,
3266,3,Anything else,,,,,
3267,2,Anything else,,,,,
3268,3,Anything else,,,,,
3269,1,Both biological parents,,,,,
3270,0,Biological mother only,,,,,
3272,3,Both biological parents,,,,,
3274,6,"Two parents, biological mother",,,,,
3275,1,Both biological parents,,,,,
3276,1,Both biological parents,,,,,
3277,0,Both biological parents,,,,,
3278,0,Biological mother only,,,,,
3279,1,Biological mother only,,,,,
3280,1,Anything else,,,,,
3281,1,Both biological parents,,,,,
3282,1,Anything else,,,,,
3283,5,Both biological parents,,,,,
3284,5,Anything else,,,,,
3285,7,Anything else,,,,,
3286,4,Both biological parents,,,,,
3288,3,Anything else,,,,,
3289,1,Biological father only,,,,,
3290,1,Both biological parents,,,,,
3291,2,Anything else,,,,,
3292,0,Biological mother only,,,,,
3293,3,Biological mother only,,,,,
3294,0,Biological mother only,,,,,
3295,0,"Two parents, biological mother",,,,,
3296,0,Adoptive parent(s),,,,,
3297,3,Both biological parents,,,,,
3298,1,Biological mother only,,,,,
3299,5,Anything else,,,,,
3300,1,Both biological parents,,,,,
3301,7,"Two parents, biological mother",,,,,
3302,1,Biological father only,,,,,
3303,5,Both biological parents,,,,,
3304,4,Both biological parents,,,,,
3305,1,Anything else,,,,,
3306,1,Both biological parents,,,,,
3308,0,"Two parents, biological mother",,,,,
3309,5,Anything else,,,,,
3310,7,Anything else,,,,,
3311,1,Anything else,,,,,
3312,6,Anything else,,,,,
3314,10,Anything else,,,,,
3315,0,Biological father only,,,,,
3316,3,Anything else,,,,,
3317,3,Anything else,,,,,
3318,1,Both biological parents,,,,,
3319,1,Anything else,,,,,
3320,4,Biological father only,,,,,
3321,1,Both biological parents,,,,,
3322,4,"Two parents, biological mother",,,,,
3323,1,"Two parents, biological mother",,,,,
3325,5,Anything else,,,,,
3326,3,"Two parents, biological mother",,,,,
3327,1,Anything else,,,,,
3328,5,Anything else,,,,,
3330,0,Both biological parents,,,,,
3331,3,Both biological parents,,,,,
3332,1,Both biological parents,,,,,
3333,5,"Two parents, biological mother",,,,,
3334,3,"Two parents, biological mother",,,,,
3336,3,Biological mother only,,,,,
3337,1,Anything else,,,,,
3338,1,Anything else,,,,,
3339,3,Both biological parents,,,,,
3340,1,Both biological parents,,,,,
3341,4,Anything else,,,,,
3342,1,Biological mother only,,,,,
3345,3,"Two parents, biological father",,,,,
3346,7,Both biological parents,,,,,
3349,7,Biological mother only,,,,,
3351,3,Anything else,,,,,
3352,2,"Two parents, biological father",,,,,
3353,5,Biological father only,,,,,
3354,5,Anything else,,,,,
3356,1,Both biological parents,,,,,
3357,0,Both biological parents,,,,,
3358,3,Biological mother only,,,,,
3359,0,Both biological parents,,,,,
3360,3,Both biological parents,,,,,
3361,1,Both biological parents,,,,,
